EmployeeNumber,Age,Department,DistanceFromHome,Education,EducationField,Gender,JobRole,JobLevel,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,StandardHours,StockOptionLevel,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
1,41,Sales,1,2,Life Sciences,Female,Sales Executive,2,Single,5993,19479,8,1,80,0,8,6,4,0,5
2,49,Research & Development,8,1,Life Sciences,Male,Research Scientist,2,Married,5130,24907,1,1,80,1,10,10,7,1,7
4,37,Research & Development,2,2,Other,Male,Laboratory Technician,1,Single,2090,2396,6,1,80,0,7,0,0,0,0
5,33,Research & Development,3,4,Life Sciences,Female,Research Scientist,1,Married,2909,23159,1,1,80,0,8,8,7,3,0
7,27,Research & Development,2,1,Medical,Male,Laboratory Technician,1,Married,3468,16632,9,1,80,1,6,2,2,2,2
8,32,Research & Development,2,2,Life Sciences,Male,Laboratory Technician,1,Single,3068,11864,0,1,80,0,8,7,7,3,6
10,59,Research & Development,3,3,Medical,Female,Laboratory Technician,1,Married,2670,9964,4,1,80,3,12,1,0,0,0
11,30,Research & Development,24,1,Life Sciences,Male,Laboratory Technician,1,Divorced,2693,13335,1,1,80,1,1,1,0,0,0
12,38,Research & Development,23,3,Life Sciences,Male,Manufacturing Director,3,Single,9526,8787,0,1,80,0,10,9,7,1,8
13,36,Research & Development,27,3,Medical,Male,Healthcare Representative,2,Married,5237,16577,6,1,80,2,17,7,7,7,7
14,35,Research & Development,16,3,Medical,Male,Laboratory Technician,1,Married,2426,16479,0,1,80,1,6,5,4,0,3
15,29,Research & Development,15,2,Life Sciences,Female,Laboratory Technician,2,Single,4193,12682,0,1,80,0,10,9,5,0,8
16,31,Research & Development,26,1,Life Sciences,Male,Research Scientist,1,Divorced,2911,15170,1,1,80,1,5,5,2,4,3
18,34,Research & Development,19,2,Medical,Male,Laboratory Technician,1,Divorced,2661,8758,0,1,80,1,3,2,2,1,2
19,28,Research & Development,24,3,Life Sciences,Male,Laboratory Technician,1,Single,2028,12947,5,1,80,0,6,4,2,0,3
20,29,Research & Development,21,4,Life Sciences,Female,Manufacturing Director,3,Divorced,9980,10195,1,1,80,1,10,10,9,8,8
21,32,Research & Development,5,2,Life Sciences,Male,Research Scientist,1,Divorced,3298,15053,0,1,80,2,7,6,2,0,5
22,22,Research & Development,16,2,Medical,Male,Laboratory Technician,1,Divorced,2935,7324,1,1,80,2,1,1,0,0,0
23,53,Sales,2,4,Life Sciences,Female,Manager,4,Married,15427,22021,2,1,80,0,31,25,8,3,7
24,38,Research & Development,2,3,Life Sciences,Male,Research Scientist,1,Single,3944,4306,5,1,80,0,6,3,2,1,2
26,24,Research & Development,11,2,Other,Female,Manufacturing Director,2,Divorced,4011,8232,0,1,80,1,5,4,2,1,3
27,36,Sales,9,4,Life Sciences,Male,Sales Representative,1,Single,3407,6986,7,1,80,0,10,5,3,0,3
28,34,Research & Development,7,4,Life Sciences,Female,Research Director,3,Single,11994,21293,0,1,80,0,13,12,6,2,11
30,21,Research & Development,15,2,Life Sciences,Male,Research Scientist,1,Single,1232,19281,1,1,80,0,0,0,0,0,0
31,34,Research & Development,6,1,Medical,Male,Research Scientist,1,Single,2960,17102,2,1,80,0,8,4,2,1,3
32,53,Research & Development,5,3,Other,Female,Manager,5,Divorced,19094,10735,4,1,80,1,26,14,13,4,8
33,32,Research & Development,16,1,Life Sciences,Female,Research Scientist,1,Single,3919,4681,1,1,80,0,10,10,2,6,7
35,42,Sales,8,4,Marketing,Male,Sales Executive,2,Married,6825,21173,0,1,80,1,10,9,7,4,2
36,44,Research & Development,7,4,Medical,Female,Healthcare Representative,3,Married,10248,2094,3,1,80,1,24,22,6,5,17
38,46,Sales,2,4,Marketing,Female,Manager,5,Single,18947,22822,3,1,80,0,22,2,2,2,1
